season,team_id,game_id,miss_streaks,make_streaks,fga,fgm
2023,3,401507336,22,5,72,26
2023,3,401507345,5,8,79,40
2023,3,401507350,18,7,76,31
2023,3,401507355,8,8,76,37
2023,3,401507362,1,8,69,41
2023,3,401507364,6,6,66,33
2023,3,401578552,6,6,70,34
2023,3,401578556,7,10,78,41
2023,3,401578562,9,2,71,31
2023,3,401578564,16,4,88,33
2023,3,401578566,22,1,76,24
2023,5,401507130,21,3,66,22
2023,5,401507137,17,2,73,26
2023,5,401507147,11,7,76,35
2023,5,401507151,11,6,73,31
2023,5,401507163,18,11,71,31
2023,5,401507165,3,6,64,35
2023,5,401507172,14,0,69,28
2023,5,401507178,9,7,68,33
2023,5,401507181,11,9,68,32
2023,5,401507186,10,9,64,33
2023,5,401507193,11,6,73,33
2023,5,401507202,13,3,69,30
2023,5,401507205,8,5,68,34
2023,5,401507210,16,2,78,28
2023,5,401507217,17,1,72,24
2023,5,401507224,7,8,68,35
2023,5,401507228,8,7,70,33
2023,5,401507232,3,6,60,33
2023,5,401507238,9,7,67,30
2023,5,401507244,18,6,73,30
2023,5,401507251,11,5,64,28
2023,5,401507262,8,6,65,30
2023,5,401507268,14,9,64,28
2023,5,401507270,6,2,64,29
2023,5,401507276,21,5,66,25
2023,5,401507281,12,2,63,25
2023,5,401507286,18,4,57,22
2023,5,401507291,8,3,64,29
2023,5,401507296,7,5,64,30
2023,5,401507300,11,6,68,34
2023,5,401507309,4,1,71,33
2023,5,401507313,12,5,66,31
2023,5,401507320,13,7,65,29
2023,5,401507328,7,6,65,28
2023,5,401507335,14,8,70,32
2023,5,401507345,8,9,71,35
2023,5,401507350,17,7,70,29
2023,5,401507354,17,6,60,24
2023,5,401507359,12,1,63,22
2023,5,401507366,12,11,71,34
2023,6,401507133,13,5,73,29
2023,6,401507141,14,6,76,32
2023,6,401507146,13,5,68,25
2023,6,401507158,7,7,67,32
2023,6,401507160,8,5,68,31
2023,6,401507166,10,2,56,22
2023,6,401507173,14,0,73,28
2023,6,401507180,6,2,67,32
2023,6,401507184,5,7,62,32
2023,6,401507189,5,0,60,26
2023,6,401507194,11,5,68,28
2023,6,401507197,13,2,62,23
2023,6,401507204,8,1,74,26
2023,6,401507209,10,10,62,31
2023,6,401507214,18,3,63,22
2023,6,401507220,16,6,67,28
2023,6,401507223,11,3,67,28
2023,6,401507230,14,5,68,29
2023,6,401507239,17,4,70,26
2023,6,401507248,11,2,78,34
2023,6,401507254,13,8,62,25
2023,6,401507260,10,12,63,32
2023,6,401507268,12,6,71,31
2023,6,401507270,9,4,63,28
2023,6,401507279,14,9,72,31
2023,6,401507283,23,4,70,24
2023,6,401507287,11,3,67,28
2023,6,401507293,10,5,59,27
2023,6,401507296,19,6,72,29
2023,6,401507305,7,6,62,28
2023,6,401507317,4,6,53,28
2023,6,401507326,7,12,63,34
2023,6,401507331,6,6,65,31
2023,6,401507334,15,3,62,26
2023,6,401507341,19,3,79,29
2023,6,401507344,17,2,66,20
2023,6,401507352,9,2,58,23
2023,6,401507353,10,6,60,25
2023,6,401507358,4,4,71,34
2023,6,401507369,15,6,77,34
2023,8,401507132,18,1,63,21
2023,8,401507140,10,4,67,30
2023,8,401507142,13,2,70,28
2023,8,401507149,12,1,71,26
2023,8,401507152,10,5,68,33
2023,8,401507154,11,2,60,27
2023,8,401507159,10,7,63,28
2023,8,401507172,10,1,63,24
2023,8,401507180,10,6,67,30
2023,8,401507189,7,6,53,27
2023,8,401507195,20,1,75,25
2023,8,401507197,15,4,67,26
2023,8,401507201,25,0,76,24
2023,8,401507212,13,15,77,41
2023,8,401507218,10,5,67,31
2023,8,401507222,14,8,68,31
2023,8,401507228,4,1,58,27
2023,8,401507235,12,5,65,28
2023,8,401507240,5,5,72,36
2023,8,401507246,13,3,70,28
2023,8,401507249,16,4,66,25
2023,8,401507254,13,8,68,30
2023,8,401507261,12,2,75,32
2023,8,401507269,5,5,73,37
2023,8,401507274,5,10,61,35
2023,8,401507280,12,2,59,23
2023,8,401507289,12,3,63,26
2023,8,401507297,8,10,58,30
2023,8,401507300,16,4,63,25
2023,8,401507316,15,7,64,28
2023,8,401507321,16,1,68,24
2023,8,401507325,9,8,70,34
2023,8,401507330,11,6,68,31
2023,8,401507333,12,2,71,31
2023,8,401507340,9,0,67,28
2023,8,401507347,17,4,76,30
2023,8,401507351,12,4,72,31
2023,8,401507361,9,4,65,33
2023,8,401507366,11,1,67,27
2023,8,401558197,11,6,71,33
2023,8,401578549,19,4,60,21
2023,8,401578553,9,4,69,33
2023,8,401578557,8,4,60,26
2023,9,401507131,20,6,67,23
2023,9,401507137,14,11,68,33
2023,9,401507145,7,5,68,32
2023,9,401507153,7,8,57,28
2023,9,401507157,14,6,67,31
2023,9,401507162,13,8,74,33
2023,9,401507170,8,4,75,34
2023,9,401507175,6,13,70,39
2023,9,401507182,15,5,66,26
2023,9,401507191,6,10,62,30
2023,9,401507203,10,7,74,36
2023,9,401507208,23,5,66,23
2023,9,401507211,7,8,70,34
2023,9,401507216,7,5,65,31
2023,9,401507226,11,7,71,33
2023,9,401507227,15,13,65,32
2023,9,401507236,13,4,66,27
2023,9,401507244,11,2,66,27
2023,9,401507252,12,5,70,32
2023,9,401507257,11,7,74,35
2023,9,401507262,6,14,68,37
2023,9,401507265,15,1,80,32
2023,9,401507271,8,9,66,32
2023,9,401507279,12,6,70,32
2023,9,401507283,10,5,66,28
2023,9,401507289,12,2,75,30
2023,9,401507292,12,11,76,38
2023,9,401507303,5,10,66,34
2023,9,401507309,7,9,72,37
2023,9,401507311,12,3,64,25
2023,9,401507315,12,5,73,33
2023,9,401507327,14,3,69,28
2023,9,401507333,9,15,74,41
2023,9,401507338,14,8,75,34
2023,9,401507346,4,7,62,34
2023,9,401507349,10,5,72,34
2023,9,401507355,9,6,72,34
2023,9,401507358,10,13,69,35
2023,9,401507367,14,3,74,30
2023,9,401507376,17,3,69,28
2023,9,401558197,19,5,72,26
2023,9,401578551,10,3,75,33
2023,9,401578555,18,4,76,30
2023,9,401578561,19,4,68,23
2023,9,401578563,11,4,65,29
2023,9,401578565,9,15,76,38
2023,9,401578567,11,4,68,28
2023,9,401578571,6,3,69,32
2023,9,401578572,19,4,72,26
2023,9,401578573,6,12,63,33
2023,9,401578574,21,1,72,26
2023,11,401507133,9,1,59,24
2023,11,401507138,5,1,56,23
2023,11,401507142,7,8,57,28
2023,11,401507158,5,9,52,29
2023,11,401507168,10,5,70,31
2023,11,401507171,13,9,68,30
2023,11,401507178,12,7,64,29
2023,11,401507183,10,4,60,25
2023,11,401507188,10,2,59,23
2023,11,401507191,11,5,64,27
2023,11,401507199,10,4,70,30
2023,11,401507206,6,4,56,26
2023,11,401507213,13,2,57,23
2023,11,401507217,10,11,64,34
2023,11,401507222,8,11,59,30
2023,11,401507227,6,6,67,34
2023,11,401507235,19,3,61,23
2023,11,401507239,9,7,62,30
2023,11,401507243,12,4,70,27
2023,11,401507250,10,5,62,26
2023,11,401507255,11,4,68,31
2023,11,401507263,10,2,60,26
2023,11,401507264,13,2,67,24
2023,11,401507277,8,7,63,30
2023,11,401507281,16,4,64,25
2023,11,401507285,13,2,71,29
2023,11,401507290,8,9,71,36
2023,11,401507299,2,7,61,34
2023,11,401507301,6,12,56,31
2023,11,401507308,13,5,75,31
2023,11,401507315,15,1,71,25
2023,11,401507320,11,1,67,27
2023,11,401507326,10,2,59,24
2023,11,401507336,5,6,62,32
2023,11,401507339,5,11,58,32
2023,11,401507342,5,7,58,30
2023,11,401507351,15,2,68,25
2023,11,401507356,8,3,65,29
2023,11,401507363,19,0,75,26
2023,11,401507368,6,4,71,34
2023,14,401507134,21,1,78,25
2023,14,401507144,13,3,72,31
2023,14,401507153,16,1,73,28
2023,14,401507160,10,7,65,30
2023,14,401507166,20,2,68,22
2023,14,401507174,11,4,61,25
2023,14,401507179,18,6,64,24
2023,14,401507183,17,8,71,29
2023,14,401507187,9,1,64,24
2023,14,401507190,10,9,65,33
2023,14,401507198,17,7,64,24
2023,14,401507202,26,2,74,22
2023,14,401507206,11,6,68,32
2023,14,401507212,7,3,74,34
2023,14,401507218,18,3,76,30
2023,14,401507226,12,1,65,23
2023,14,401507231,15,5,67,26
2023,14,401507236,11,2,75,29
2023,14,401507242,11,3,67,30
2023,14,401507247,9,2,67,25
2023,14,401507256,13,2,62,24
2023,14,401507259,9,4,60,28
2023,14,401507265,13,6,70,30
2023,14,401507272,11,5,79,33
2023,14,401507276,1,8,58,31
2023,14,401507284,8,4,64,26
2023,14,401507290,6,3,72,34
2023,14,401507295,15,5,70,29
2023,14,401507302,19,1,63,21
2023,14,401507308,9,12,62,32
2023,14,401507316,16,3,68,25
2023,14,401507321,10,7,76,32
2023,14,401507324,12,1,71,27
2023,14,401507328,11,5,67,28
2023,14,401507337,12,9,72,31
2023,14,401507344,8,2,54,21
2023,14,401507348,12,2,68,27
2023,14,401507357,10,0,61,22
2023,14,401507362,10,3,69,31
2023,14,401507369,5,8,65,32
2023,16,401507131,11,6,70,32
2023,16,401507136,13,4,69,27
2023,16,401507139,12,2,65,27
2023,16,401507143,11,0,66,24
2023,16,401507155,19,2,59,19
2023,16,401507159,12,3,71,28
2023,16,401507174,14,3,68,26
2023,16,401507179,16,3,59,21
2023,16,401507181,20,5,66,22
2023,16,401507188,6,4,64,32
2023,16,401507192,8,1,64,25
2023,16,401507200,7,4,69,33
2023,16,401507208,6,6,61,29
2023,16,401507215,5,9,73,39
2023,16,401507219,8,9,65,32
2023,16,401507225,13,1,70,24
2023,16,401507232,9,5,63,29
2023,16,401507237,8,13,61,33
2023,16,401507242,3,7,67,36
2023,16,401507251,11,4,65,29
2023,16,401507257,14,3,77,30
2023,16,401507263,7,3,65,30
2023,16,401507269,8,12,78,40
2023,16,401507273,22,0,73,25
2023,16,401507275,19,3,72,23
2023,16,401507287,13,7,71,31
2023,16,401507293,9,6,62,29
2023,16,401507299,15,3,71,26
2023,16,401507304,13,4,79,34
2023,16,401507307,7,7,61,30
2023,16,401507313,9,2,61,26
2023,16,401507318,12,4,71,30
2023,16,401507323,13,1,62,22
2023,16,401507332,18,5,70,28
2023,16,401507340,6,6,64,29
